PostCode	Area Covered	Population	Households	# Postcodes	Active Postcodes	Non-Geographic Postcodes 	Center Latitude 	Center Longitude
AB 	Aberdeen 	499692	218798	38529	16951	1	57.301	-2.3079
AL 	St Albans 	249911	99209	11219	7724	0	51.7755	-0.283982
B 	Birmingham 	1904293	750842	60537	41598	0	52.4652	-1.88885
BA 	Bath 	434539	183530	19611	15004	0	51.2295	-2.41734
BB 	Blackburn 	488564	202015	18602	13127	0	53.7872	-2.33378
BD 	Bradford 	578374	223952	23103	16974	12	53.8287	-1.82855
BH 	Bournemouth 	552110	242907	21928	15167	0	50.7504	-1.89085
BL 	Bolton 	379929	159979	13792	10317	0	53.5868	-2.40784
BN 	Brighton 	802838	356367	34463	22041	2	50.8289	-0.119799
BR 	Bromley 	299157	124954	10467	6882	0	51.3945	0.0424686
BS 	Bristol 	940076	398197	44759	26647	0	51.4488	-2.62256
BT 	Northern Ireland 	1787720	693967	61089	48912	865	54.6036	-6.38079
CA 	Carlisle 	318114	140587	16010	12531	0	54.7318	-3.10891
CB 	Cambridge 	421151	167640	18826	10345	0	52.2066	0.189069
CF 	Cardiff 	1005305	419896	41945	23237	0	51.5344	-3.2935
CH 	Chester 	659880	285880	23935	18720	0	53.2905	-3.0202
CM 	Chelmsford 	653626	270044	26704	17666	0	51.7579	0.404212
CO 	Colchester 	411411	176939	17650	13034	0	51.9031	0.924467
CR 	Croydon 	405236	158695	14403	8008	0	51.356	-0.103153
CT 	Canterbury 	482627	206290	19429	14752	0	51.2558	1.23156
CV 	Coventry 	821033	341504	27597	20019	0	52.3677	-1.50131
CW 	Crewe 	309487	130803	13676	9370	0	53.1552	-2.45016
DA 	Dartford 	430139	173329	12599	8981	0	51.4422	0.220213
DD 	Dundee 	280568	128312	11165	8915	0	56.5369	-2.86446
DE 	Derby 	730125	306586	29575	16969	0	52.9334	-1.49102
DG 	Dumfries and Galloway 	151139	67885	7676	6817	0	55.0226	-3.88089
DH 	Durham 	309030	132814	11324	8931	0	54.825	-1.61407
DL 	Darlington 	360734	156814	16482	13225	0	54.533	-1.66003
DN 	Doncaster 	756058	320303	27448	21528	0	53.5411	-0.719936
DT 	Dorchester 	212796	93053	9643	7773	0	50.7547	-2.48319
DY 	Dudley 	410847	171692	14321	10983	0	52.4536	-2.17686
E 	East London 	989043	370613	27590	16353	0	51.5435	-0.0158034
EC 	Central London 	33956	17102	12454	3890	0	51.5187	-0.0967216
EH 	Edinburgh 	868113	389353	31808	24243	2	55.9266	-3.22792
EN 	Enfield 	344780	137907	12869	8546	61	51.6816	-0.0863301
EX 	Exeter 	547401	235895	28131	22109	0	50.8267	-3.65588
FK 	Falkirk and Stirling 	276371	119790	9515	7693	0	56.0772	-3.85933
FY 	Blackpool 	276593	125986	9920	7257	0	53.825	-3.02281
G 	Glasgow 	1183614	540601	46238	31610	0	55.8688	-4.26843
GL 	Gloucester 	605458	257602	28127	20825	0	51.8369	-2.17619
GU 	Guildford 	726120	288537	34982	22029	0	51.2318	-0.7172
HA 	Harrow 	480678	169132	17226	10294	0	51.5853	-0.336104
HD 	Huddersfield 	262843	111694	10618	7097	0	53.6302	-1.78275
HG 	Harrogate 	138214	59455	6239	4395	0	54.0372	-1.54629
HP 	Hemel Hempstead 	488592	195951	21390	13853	0	51.7242	-0.691019
HR 	Hereford 	176308	75400	7800	6323	0	52.0657	-2.71942
HS 	Outer Hebrides 	27663	12565	1080	962	0	57.9787	-6.69422
HU 	Hull 	443219	191836	15035	10874	0	53.768	-0.353245
HX 	Halifax 	160137	68980	7309	5654	0	53.7203	-1.89277
IG 	Ilford 	335693	119754	9832	5924	0	51.5841	0.071667
IP 	Ipswich 	595883	252895	26486	20871	0	52.1945	1.08445
IV 	Inverness 	228056	98990	10564	7254	1	57.5869	-4.11842
KA 	Kilmarnock 	370877	166467	14008	11584	1	55.5637	-4.60627
KT 	Kingston upon Thames 	529633	214274	22073	14272	0	51.36	-0.342988
KW 	Kirkwall 	53132	24290	2089	1828	0	58.6544	-3.28241
KY 	Kirkcaldy 	363956	160089	12996	10026	0	56.1625	-3.21237
L 	Liverpool 	856675	370680	42841	20467	0	53.4157	-2.96336
LA 	Lancaster 	328926	143213	14544	11782	0	54.1711	-2.90483
LD 	Llandrindod Wells 	50225	22291	2631	2209	0	52.1291	-3.34107
LE 	Leicester 	985352	391460	33974	22149	0	52.6442	-1.14834
LL 	Llandudno 	537252	232655	24144	20107	0	53.1332	-3.71616
LN 	Lincoln 	293141	126372	11763	9079	0	53.2565	-0.356359
LS 	Leeds 	774677	330676	31350	21503	0	53.8227	-1.55349
LU 	Luton 	336095	129149	10182	6206	0	51.8965	-0.509508
M 	Manchester 	1167414	492884	57971	31613	0	53.4787	-2.27176
ME 	Rochester 	606891	245786	21643	16188	0	51.3339	0.584434
MK 	Milton Keynes 	508035	202926	22264	15214	0	52.0624	-0.666126
