Rank	Name	Gender	since 1950	since 2000	TOTAL 1880-2018
1	James	Male	2,863,869	289,153	5,164,280
2	John	Male	2,729,817	254,554	5,124,817
3	Robert	Male	2,569,735	164,206	4,820,129
4	Michael	Male	3,888,729	384,597	4,362,731
5	Mary	Female	1,347,986	69,422	4,125,675
6	William	Male	2,102,418	340,194	4,117,369
7	David	Male	2,874,196	287,181	3,621,322
8	Joseph	Male	1,688,940	300,849	2,613,304
9	Richard	Male	1,434,966	73,243	2,565,301
10	Charles	Male	1,136,643	138,751	2,392,779
11	Thomas	Male	1,457,864	165,229	2,311,849
12	Christopher	Male	2,004,234	298,104	2,029,565
13	Daniel	Male	1,674,697	326,682	1,918,752
14	Elizabeth	Female	1,068,264	219,243	1,638,349
15	Matthew	Male	1,567,314	336,999	1,600,511
16	Patricia	Female	853,867	12,745	1,572,016
17	George	Male	492,874	53,146	1,467,292
18	Jennifer	Female	1,456,054	77,922	1,467,207
19	Linda	Female	882,457	11,190	1,452,668
20	Anthony	Male	1,238,697	295,979	1,440,846
21	Barbara	Female	583,223	7,576	1,434,397
22	Donald	Male	624,363	18,172	1,411,600
23	Paul	Male	843,790	48,373	1,388,499
24	Mark	Male	1,280,111	56,591	1,351,766
25	Andrew	Male	1,149,478	300,397	1,291,279
26	Edward	Male	575,674	53,923	1,291,031
27	Steven	Male	1,189,572	78,691	1,282,486
28	Kenneth	Male	801,768	52,599	1,274,359
29	Margaret	Female	366,710	41,683	1,248,985
30	Joshua	Male	1,204,842	331,180	1,210,013
31	Kevin	Male	1,156,261	159,638	1,169,880
32	Brian	Male	1,138,920	92,318	1,165,574
33	Susan	Female	863,149	8,026	1,121,703
34	Dorothy	Female	136,596	6,099	1,107,635
35	Ronald	Male	628,810	20,434	1,078,643
36	Sarah	Female	867,162	167,511	1,077,746
37	Timothy	Male	1,015,451	78,454	1,070,925
38	Jessica	Female	1,042,139	107,838	1,046,051
39	Jason	Male	1,028,469	135,406	1,032,735
40	Helen	Female	130,615	15,676	1,019,053
41	Nancy	Female	530,883	14,549	1,002,365
42	Betty	Female	164,102	3,002	999,718
43	Karen	Female	800,653	27,504	986,137
44	Jeffrey	Male	939,100	37,737	974,758
45	Lisa	Female	961,768	10,266	965,279
46	Ryan	Male	931,071	257,898	931,881
47	Jacob	Male	895,317	425,864	931,472
48	Frank	Male	327,109	23,161	911,169
