Brand Name	Generic Name
3232 A 	nutritional supplement
Abilify 	aripiprazole
Abilify Maintena injection 	aripiprazole
ABRA Abdominal 	medical device
ABRA Surgical 	medical device
Abraxane 	albumin-bound paclitaxel
Absorica 	isotretinoin capsule
Acanya 	clindamycin phosphate and benzoyl peroxide
Accupril 	quinapril HCI
Accuretic 	quinapril/HCTZ tablet
Actemra 	tocilizumab
Acthar Gel 	repository corticotropin injection
Actimmune 	interferon gamma-1b
Activase 	alteplase
Acuvail 	ketorolac tromethamine ophthalmic solution
Adacel 	tetanus toxoid, reduced diphtheria toxoid and acellular pertussis vaccine
Adakveo 	crizanlizumab-tmca
Adcetris 	brentuximab vedotin
Adcirca tablets 	tadalafil
Adempas Tablet 	riociguat
Adlyxin 	lixisenatide
Admelog 	insulin lispro injection
Advair diskus 100/50 	fluticasone/propionate/salmeterol
Advair diskus 250/50 	fluticasone/propionate/salmeterol
Advair diskus 500/50 	fluticasone propionate/salmeterol
Advair HFA 	fluticasone propionate and salmeterol
Advate 	antihemophilic factor
Adynovate 	Antihemophilic Factor (Recombinant), PEGylated
Afinitor 	everolimus
Afinitor Disperz 	everolimus
Afstyla 	antihemophilic factor (recombinant)
Agrylin 	anagrelide hydrochloride
Aimovig 	erenumab
AirDuo RespiClick 	fluticasone propionate/salmeterol
Ajovy 	fremanezumab-vfrm
Akynzeo capsule 	netupitant/palonosetron capsule
Akynzeo injection 	fosnetupitant/palonosetron
Aldactazide 	spironolactone and hydrochlorothiazide
Aldactone 	spironolactone
Aldara 	imiquimod
Aldurazyme 	laronidase
Alecensa 	alectinib
Alfamino Infant 	nutrition supplement
Alfamino Junior 	nutritional supplement
Alimta 	pemetrexed
Aliqopa 	copanlisib
Allegra OTC 	fexofenadine OTC tablet
Alomide 	lodoxamide tromethamine solution
Alphagan P 1% 	brimonidine tartrate ophthalmic solution
Alphanate injection 	antihemophilic factor/von willebrand factor complex (human)
AlphaNine SD 	coagulation factor ix (human)
Alprolix 	Coagulation Factor IX (Recombinant), Fc Fusion Protein
Alrex suspension .2% 	loteprednol etabonate ophthalmic suspension
Altace 	ramipril
Alunbrig 	brigatinib
AmBisome (injection) 	amphotericin B, lipid-based
Amitiza 	lubiprostone
Ampyra Tablet 	dalfampridine
Anafranil 	clomipramine hcl
Analpram HC Cream 	hydrocortisone/pramoxine
Ancobon Caps 	flucytosine
Angeliq 	drospirenone/estradiol
